ticker,fy,entry,fwd6,dd,fwd_vol,sector,score,true_fwd,fwd6_before
DECK,2024,0.7197,0.0895,-0.1528,0.1094,Consumer Discretionary,0.0491,-0.0759,0.1185
KEYS,2024,0.7100,0.0816,-0.0897,0.1908,Technology,0.0489,0.0178,0.1147
IR,2024,0.8525,0.0510,0.0500,0.1871,Industrials,0.0485,-0.1360,0.1105
BF-B,2024,0.9322,0.0510,0.0060,0.2377,Consumer Staples,0.0481,0.2356,0.1015
ADP,2024,0.9381,0.0510,-0.0014,0.1732,Industrials,0.0477,-0.0254,0.1116
FLEX,2024,0.9293,0.0510,0.0021,0.1360,Technology,0.0476,-0.0172,0.1196
EQR,2024,0.8361,0.0630,-0.0510,0.2339,Real Estate,0.0476,0.0722,0.1132
AWK,2024,0.8871,0.0534,0.0015,0.2276,Utilities,0.0475,0.1056,0.1201
ARES,2024,0.9279,0.0510,-0.0000,0.1867,Financials,0.0473,0.0092,0.1095
LIN,2024,0.9106,0.0510,0.0080,0.1176,Materials,0.0472,0.0370,0.1219
BAC,2024,0.7748,0.0565,0.0320,0.2172,Financials,0.0470,0.2653,0.1136
ABBV,2024,0.8790,0.0510,0.0200,0.1311,Healthcare,0.0468,0.0901,0.0972
DDOG,2024,0.8152,0.0510,0.0500,0.2320,Technology,0.0466,-0.0116,0.1234
DVA,2024,0.8121,0.0510,0.0500,0.1640,Healthcare,0.0464,0.0307,0.1040
GLW,2024,0.8660,0.0571,-0.0340,0.1127,Technology,0.0461,0.0525,0.0978
LRCX,2024,0.9547,0.0556,-0.0759,0.1292,Technology,0.0455,0.0903,0.1099
AFL,2024,0.8915,0.0601,-0.0817,0.2227,Financials,0.0454,0.0040,0.1169
IBM,2024,0.8581,0.0510,0.0152,0.1939,Technology,0.0453,0.0565,0.1109
FANG,2024,0.8577,0.0635,-0.0936,0.1176,Energy,0.0451,0.0648,0.1149
BR,2024,0.9058,0.0510,-0.0121,0.1689,Industrials,0.0450,0.0281,0.1099
EBAY,2024,0.8735,0.0649,-0.1169,0.2082,Consumer Discretionary,0.0450,0.0733,0.1132
ETN,2024,0.8502,0.0546,-0.0150,0.1265,Industrials,0.0449,-0.0753,0.1168
